,업데이트영상,시간,시청기록,검색기록
0,저는 D.P 였습니다,6시간 전,"[ASMR] 속시원한 빠른 탭핑 (feat.입소리,시각적팅글) ",ASMR 
1,사람들이 착각하는 ‘성공의 비결’ㅣ유니콘하우스 박지웅,7시간 전,"실시간 서울 한강 라이브캠, 재택근무 로파이 노동요, 반포대교 노을멍 ソウルライブ Seoul Hangang 4K Live Cam w/ Lofi 21/07/01~ ",ASMR 
2,9월 한 달 동안 꼭 가볼만한 전시 TOP 4! + 관람 꿀팁! / 이 달의 문화예술,8시간 전,삼겹살에 치즈김치볶음밥 처음 먹어본 영국 고등학생들의 반응!? ,konlpy csv 
3,폴드2를 폴드3로??? 원 UI 3.1.1 업데이트 프리뷰 [4K],8시간 전,"[과제를 위한 파이썬] #2 - 형태소 분석하기 (konlpy 설치, 사용법) ",빠니보틀 미국 
4,"정부는 돈을 뿌리고, 중앙은행은 돈을 흡수하는 기묘한 현상",8시간 전,jazz/lofi hip hop radio🌱chill beats to relax/study to [LIVE 24/7] ,초보 고수 asmr 크온구 
5,역대급 발명품을 개발한 천재화학자의 비극적 결말,9시간 전,공부 할 때 듣기 좋은 피아노 BGM ⎮ cold water piano radio ☕️ ⎮ relax study to ⎮ stay with me ⎮ 직접 연주한 100곡 ,초보 고수 asmr 
6,"[과학자가 쓴 과학책#12] 황선도 _바다에서 실학을 찾다 | 친애하는 인간에게, 물고기 올림",9시간 전,25만원으로 40억 누적수익을 낸 30살 주식계의 실전깡패 돈깡.. 어떻게 한거냐 l 영앤리치#1 ,메이크업 asmr 
7,Trucker Boss  ~~ 누구든지 걸리기만 해봐~~~,9시간 전,"""하루에 한번 총격 사고가 나"" 미국경찰마저 포기한 LA의 유일한 범죄도시 ""South central LA"" l 미국#13 ",퍼프 asmr 
8,"실루엣~~감상 타임......,,,    ㅋㅋㅋ 야자 타임 아닙니다.  (댓글에 이상한 글 올리면 나쁜者)",9시간 전,미국 로드트립 360도 영상 USA Road Trip Timelapse 360 Video ,브러쉬 시각적 팅글 
9,가을맞이~ 몸풀기~,9시간 전,미국 증기기관차 타보기 【아메리카6】 ,브러쉬 asmr 
10,"화질, 기능 대박 좋음! 웹캠 굳이 안사도 됩니다! 아이폰, 아이패드를 고화질 웹캠으로 활용하기",9시간 전,알고리즘 실력 유형별 공감 (입문자~썩은물) ,hazel english 
11,이쁜 짓 ~ 어때요??ㅋ,9시간 전,팅글을 뽑아내는 마이크 / MIC Pulling ASMR ,고층 파쿠르 
12,삼겹살에 치즈김치볶음밥 처음 먹어본 영국 고등학생들의 반응!?,9시간 전,ASMR 풀메이크업 받고 가세요! / Sleepy Fast Makeup Sounds ASMR (Personal Attention) ,크온구 
13,"2022년을 강타할 삼겹살 요리, 가루삼겹살",10시간 전,팅글을 못 느끼는 사람을 위한 ASMR / ASMR For Who Don't Get Tingles ,Asmr 빠른 
14,지나가는 모두가 대머리...,10시간 전,정신없는 메이크업 ASMR / Makeup Roleplay ,rokseal 이근대위 
15,"Inside London's ""Gotham City"" Skyscraper",10시간 전,ASMR💄화면위에 해주는 실감나는 메이크업 RP / A Sleepy Friend Does Realistic Makeup on the screen ,5x5 루틴 
16,"부자와 가난한 사람의 5가지 결정적 차이, 50대 50억 자산가가 깨달은 것들.. (정선용 前L그룹사 임원 2부)",10시간 전,Soy와 패스트 트리거 ASMR / ASMR Fast Triggers with Soy ,크온구 
17,"이라크전, 벤투 감독의 고민... 손흥민-황희찬 ""힘든여정, 최선을 다하겠다"" #SPORTSTIME",11시간 전,ASMR✂️부정적인 생각 뽑아내기 / ASMR Plucking Away Your Negative Thoughts / (Screen Pulling) ,과즙세연 제로투 심하게 매운맛 
18,"이러다 4점대 ERA? 2021년 8월, 류현진 인생의 흑역사/ 19시 스포츠타임 뉴스 LIVE",스트리밍 시간: 11시간 전,ASMR) 당신은 마이크 입니다 / ASMR You're The MICROPHONE !! ,과즙세연 제로투 
19,"'맨유 복귀' 호날두, 아일랜드전에서 A매치 110골 도전 #SPORTSTIME",11시간 전,"그냥 누워계십쇼 30분안에 잠이 올겁니다 / Just Lie Down, You'll Fall Asleep Within 30 minutes! ",홈페이지 마케팅 
20,해병대 UDT 지옥주급 초극한 정육점에서 하루 생존해봤습니다.,11시간 전,ASMR Triggers with Friend (feat. Reyong) ,브리타  
21,이해와 독해를 구별하세요. 시력만 좋으면 누구나 이 정도는10초만에 독해할 수 있습니다. | 문해력 시리즈 4편,12시간 전,"[ASMR] 속시원한 빠른 탭핑 (feat.입소리,시각적팅글) ",케틀 보틀 
22,전여친을 울린 시그니엘 프로프즈,12시간 전,[ASMR] 투쿨포스쿨 화장품 빠른탭핑과 화장품 직접 발라보기💋ㅣ신상 리뷰ㅣtoo cool for school ,타임 타이머 
23,"메시, 호날두도 움직인 폭풍 이적 시장이 끝났다 #SPORTSTIME",13시간 전,"[ASMR] 무편집버전ㅣ입소리,탭핑,시각적팅글ㅣ화면에 쿠션 발라주기,마이크 브러슁 ",셀레니움 유튜브 로그인 
24,오늘은 통계청 방문 하는 날!  통계청장과 보통씨의 케미는?! I 보통씨의 썰 보따리 6화,14시간 전,초보 vs 고수 ASMRist / The Beginner Vs Master ASMRist ,셀리니움 로그인 
25,초신성이 폭발하면… 몇 광년 거리의 생명은 무조건 멸망이라고?,14시간 전,가난한 남자의 ASMR / A Poor Man ASMR ,홈페이지 마케팅 
26,"2021 F/W 신상품, 도매용 가방 Ｎew product, wholesale bag　”가방.지갑.벨트,.모자”는 OEM생산으로 한국.일본 유명 브랜드에 납품하고 있습니다.",14시간 전,정신없는사람 VS 차분한사람...  / Friends ASMR ,블록체인 파이썬 
27,과학과사람들 Live 4호선 이상 모여라~ 돌아온 신조어 대결,스트리밍 시간: 17시간 전,ASMR 고수 VS 고수 / ASMR PRO vs PRO ASMRtist ,클렌징 오일  
28,지금 부자되기를 시작하는 방법 (아는선배),스트리밍 시간: 17시간 전,ASMR 잠이솔솔 메이크업 퍼프상점 롤플레이 /ASMR Sleepy Makeup Sponges Shop RP/ makeup sounds ,남자 고데기 빗 
29,갑자기 무너진 류현진… 노히트노런 의식? 고개 절레절레 #SPORTSTIME,17시간 전,"[ASMR] 뇌신경검사 2탄 후각,청각,촉각,시각 실감나는검사_のうしんけいけんさ,cranial nerve test_리쮸 LIZZU🖤 ",희철리즘 
30,[희소식] 유전성 혈관부종 진단은 어떻게 하나요?  | 유전성 혈관부종 | 원인·진단 5화,19시간 전,ASMR 찐친이 해주는 메이크업💟 (실제로 받는 느낌!) 大親友がしてくれるメイク！| Best friend does your makeup ,빠니보틀 미국 
31,"디지털 대전환 시대, 「통계청이 나아갈 세 가지 대전환」",21시간 전,ASMR 퍼프 소리만 1시간😉 여러가지 빠르기 | puff sound ,스타트업 초기 
32,,,1인칭 고퀄리티 메이크업 ASMR(부잣집 아가씨 첫 등교 메이크업) | First Person Makeup for Lady(Eng sub) | 한국어 상황극 | 100%잠이오는 ,장고 장점 
33,,,ASMR 중국식 귀청소👂Chinese Ear Cleaning Roleplay (SUB✔️) ,그누보드 
34,,,"ASMR/SUB 스냅 촬영을 위한 메이크업과 헤어 스타일링💄💇 마믅 뷰티 살롱(후시 녹음) Makeup, Hair Styling Roleplay ",캔들워머 
35,,,Powder Puffs Only: Realistic ASMR [퍼프소리/No Talking] Korean Makeup Roleplay [No Talking] ,아프가니스탄 
36,,,"Korean ASMR | 다양한 퍼프소리 | Puff sound |실리콘퍼프,웨지퍼프,에어퍼프| Silicon puff,air puff,make-up sponge ",크온구 
37,,,ASMR.SUB 입소리 가득한 단어 반복으로 재우는 퍼프 판매샵|Makeup puff shop that makes you fall asleep by repeating words ,리솜 포레스트 
38,,,ASMR(SUB)얼굴을 쓰담쓰담 브러쉬로 재워드릴게요🌙/Brushing Your Face to Help You Sleep. Close Up Personal Attention ,호텔 오노마 
39,,,"ASMR | 시각적 팅글👁 면봉, 브러쉬, 포크로 화면 긁기 | Visual Trigger | Cotton swab, Fork, Brush ",치실 
40,,,💕시각적 팅글이 엄청난 소리모음 ASMR💕 | 고체형광펜+핀셋+왕솜털펜+포크+브러쉬 | 노토킹 ASMR | 학생 ASMR ,코로나 화이자 
41,,,ASMR 핸드무브먼트 장인의 단어반복 | 브러쉬 | 팅글보장 | Tingly Trigger Words | Brushing ,자연어처리 
42,,,[ASMR] 핑크 브러쉬터칭과 빠른입소리 30분연속듣기 _ brush touching _리쮸 ,클리니컬스트렝스 
43,,,산군 ,디오비 스타일러 
44,,,"[ASMR]입소리와 스크린 브러쉬🖤 톡톡,뽀롱,간질간질 ",고양이 자동화장실 
45,,,[ASMR]12분 만에 잠 들수 있는 소리_비즈통/향수/뷰러/카메라커버/수분크림_오랜만이라 어색해요🥸 ,커뮤니티사이트 창업 
46,,,"[ASMR] SUB 츤데레 친언니가 화장 해줄게_뷰러탭핑,풀메이크업_ Putting on makeup role playing 💄 ",빗소리 재즈 
47,,,[ASMR]츤데레 언니가 집에서 팩 붙여주고 스킨케어 해줄게👩‍🦰.. 너무 졸리면 자도 돼 ,asmr 
48,,,[ASMR] 화면에서 뽑아내는듯 손짓과 입소리ㅣmouth sound coming out of the screen ,정주영창업대회 
49,,,잠이 안오시나요? 10가지 소리로 재워드립니다 / Can't you sleep? I'm Gonna Help You w/ 10 Triggers ,어서와한국은처음이지 
50,,,How to scrape a website that requires login using Python ,롯데타워 출근 외국인 
51,,,🎧 팝송 안 듣는 사람도 빠져버릴 노래 : The Kid LAROI - WITHOUT YOU [가사/해석/lyrics] ,롯데타워 출근 
52,,,Hazel English - California Dreamin' (Official Audio) ,롯데타워 화장품회사 
53,,,Hazel English - Never Going Home [Official Video] ,정소림 
54,,,Hazel's Adventures: Palm Springs Edition ,
55,,,"나의 💚제니💚 에게, 𝗘𝗕𝗘𝗡 - 𝗝𝗲𝗻𝗻𝘆 [가사/해석/lyrics] ",
56,,,무스탕 원티드와 한국 서울의 미친 루프탑핑 ,
57,,,한국 1인칭 파쿠르 시점  Real Parkour and Rooftop Skate Jump POV 🇰🇷 ,
58,,,인라인 스케이트로 건물사이를 뛰게된다면? ,
59,,,생존신고 올립니다! (덧글ㅡQ&A) ,
60,,,날 좋은데 친구들과 보드 어떠세요? ,
61,,,1억주면 한다 안한다?에 흔한영상 ,
62,,,바나나 락 챌린지 (Banana lock challenge) 한국의 파쿠르와 리얼 아시아 루프탑핑! ,
63,,,📞전애인한테 전화하게 만드는 노래 : 𝗟𝗔𝗡𝗬 - 𝘂𝗽 𝘁𝗼 𝗺𝗲 [가사/해석] ,
64,,,🛫5:00PM : AIRPLANE MODE ,
65,,,한국인이 좋아할 수밖에 없는 노래 : New Hope Club - Know Me Too Well [가사/해석] ,
66,,,"🔥그냥 찢었다 : Skrillex, Justin Bieber & Don Toliver - Don’t Go [가사/해석/lyrics] ",
67,,,춘천에서 숯불닭갈비를 처음 만난 미국 간호사의 반응은?! 외국놈들의 그랜드한 한국 일주 시리즈 3편!! ,
68,,,화이자 접종시 심근염 예방 위해 이 약을 준비하세요 ,
69,,,"🔊 코로나19 예방접종 후 이상반응, 무엇이든 물어보세요! 심근염·심낭염(국민편) ",
70,,,숨 가쁜데?  심근염 괜찮을까?…걱정되는 백신 '이상 반응' 대처법 / JTBC 뉴스룸 ,
71,,,'mRNA 백신' 대표 부작용 '심근염'·'심낭염'…어떤 증상? (2021.07.05/뉴스데스크/MBC) ,
72,,,"스트리밍 영상 다운로드 프로그램 끝판왕 , 모든 스트리밍 사이트의 영상을 다운로드 받을 수 있어요!! ",
73,,,에이다 암살자 ,
74,,,미국 증기기관차 타보기 【아메리카6】 ,
75,,,미국 길 위에서의 나날 【아메리카5】 ,
76,,,새로운 친구들과 릴레이 ASMR / Relay ASMR with NEW FRIENDS ,
77,,,미국 최악의 범죄도시 스탁튼을 장악한 캄보디안 갱들과의 하룻밤 EP1 l 미국#3 ,
78,,,프랑스 시골 마을 생활기 【유라시아108】 ,
79,,,"[ASMR] 속시원한 빠른 탭핑 (feat.입소리,시각적팅글) ",
80,,,[ASMR]시각적 팅글 수면유도 눈 수술👀ㅣ솜 소독ㅣ스케일러ㅣ아로마롤링 ,
81,,,[ASMR] 통을 이용한 잠 오는 소리_입소리 단어반복 탭핑_ Unusual mouth sounds and tapping_ 口音 ,
82,,,[ASMR] 러쉬 판매 롤플 💟 _ LUSH Cosmetics Store Role-Playing ,
83,,,[ASMR]츤데레 언니가 집에서 팩 붙여주고 스킨케어 해줄게👩‍🦰.. 너무 졸리면 자도 돼 ,
84,,,[ASMR]이중 레이어드 수면유도ㅣ화면터칭 시각적 팅글ㅣDouble layered whisper ,
85,,,[ASMR] 정신없이 빠른 레이어드 영상ㅣ입소리+빠른탭핑+시각적팅글ㅣ특이한 편집 ,
86,,,[ASMR] 직접 문지르는듯 한 촉진ㅣ시각적팅글ㅣ간지러운 속삭임 ,
87,,,[ASMR]빠른 인어디블 말소리 반복과 잠오는 손짓_뻐끔이 속삭임_Inaudible word repetation ,
88,,,[ASMR] 입소리 + 핸드무브먼트 + 카메라터칭 ,
89,,,[ASMR] 긴 손톱으로 빠른 탭핑 ❤️‍🔥ㅣ소곤소곤 수다떨자 🤗 ,
90,,,[ASMR]잘난척대마왕 직원의 대왕귀 바스락 귀청소ㅣ마른귀지 파는소리ㅣ잠이 솔솔오게 사부작사부작 귀파주기_리쮸LIZZU🖤 ,
91,,,[ASMR] 팅글 뽑아내기 🌠 (입소리) / 잠오는 소리 _ 리쮸 Lizzu ,
92,,,[ASMR]노토킹 귀청소ㅣ귀소독ㅣ바세린바르기ㅣ귀뚫고 귀걸이 끼우기👂🏻 ,
93,,,"[ASMR]너의 걱정,우울,슬픔,불면증을 핀셋으로 뽑아서 불어버릴께ㅣ덤으로 행복,행운 채워주기ㅣ사랑스런 너의 슬픔덜어주기🤍ㅣ기분좋은 롤플레잉ㅣ리쮸LIZZU ",
94,,,당신이 원하던 화면브러쉬 터칭 / screen brush touching / 강한소리 주의 [리쮸 asmr] おやすみ ,
95,,,[ASMR]Eng. 스케일러로 귀파주는 이상한 귀청소샵_고인물도 팅글느끼는 마이크 귀파주기_잠오는 귀지파는소리_리쮸LIZZU ,
96,,,[ASMR]팅글을 느끼지 못하는 환자 팅글 회복 수술하기_귓속수술_수술 롤플 ,
97,,,[ASMR]앞머리 잘라드릴게요_조금 이상한 8년차 디자이너🥺_미용실 롤플레잉_Hair shop cutting roleplaying ,
98,,,"[ASMR] 무편집버전ㅣ입소리,탭핑,시각적팅글ㅣ화면에 쿠션 발라주기,마이크 브러슁 ",
99,,,"[ASMR]입소리와 스크린 브러쉬🖤 톡톡,뽀롱,간질간질 ",
100,,,"치과 asmr / lizzu’s dental 🦷 리쮸 / 핀셋소리 , 충치치료 , 스케일링 scailing / 수면유도 ",
101,,,림밤으로 화면터칭 +단어반복 asmr / 리쮸 / 팅글대박🙌🏻 ,
102,,,[ASMR]SUB. 잠오는 충치치료와 스케일링_나긋하고 친절한 의사선생님🦷 치과 롤플 _cavity treatment and scaling RP ,
103,,,"뇌신경 검사 롤플레이 / 후각 , 불빛 시각 검사 _ 리쮸 asmr (cranial nerve test) 잠오는 영상 ",
104,,,[ASMR]SUB. 쌍꺼풀 수술 롤플레잉 _ Double eyelid surgery role-playing _ 二重まぶた手術 ,
105,,,[ASMR]뭔가 이상한 눈 초점검사/안과 롤플레잉/잠오는 안구 신경 검사/리쮸 ,
106,,,"[ASMR] SUB 츤데레 친언니가 화장 해줄게_뷰러탭핑,풀메이크업_ Putting on makeup role playing 💄 ",
107,,,아로마 향으로 낮잠자기 좋은날 🌿롤링롤링 리쮸 asmr _ 잠오는소리 _ 시각적팅글 ,
108,,,"[ASMR]간질간질 단어반복과 핸드무브먼트ㅣ코,볼,속눈썹,귀 간지럽히기ㅣTickling soundㅣ리쮸🖤 ",
109,,,[ASMR]인어디블 초근접 간지럽히기🤣 간질간질 단어반복 ,
110,,,"[ASMR] 뇌신경검사 2탄 후각,청각,촉각,시각 실감나는검사_のうしんけいけんさ,cranial nerve test_리쮸 LIZZU🖤 ",
111,,,[ASMR] 콩닥콩닥 심장소리_안정되는소리Heart beat sound ,
112,,,[ASMR] 초근접 마이크 물고 입소리ㅣ뇌까지 전달되는 팅글 ,
113,,,[ASMR] 화면에서 뽑아내는듯 손짓과 입소리ㅣmouth sound coming out of the screen ,
114,,,미니마이크 💋소리 asmr 리쮸 / 초코초코 단어반복 🔮 word recitation / repeated word ,
115,,,[ASMR]배에서 이상한 소리가 나요🤒 꼬륵꾸르륵 korea upset Stomach asmr ,
116,,,초보 vs 고수 ASMRist / The Beginner Vs Master ASMRist ,
117,,,여자친구 몰래 센스 있는 선물하기 꿀팁 6가지 | 클래씨 ,
118,,,"[강남자바사물인터넷(IOT)개발학원] 세계 주류 쇼핑몰 홈페이지 개발(IT 프로젝트 포트폴리오, 국비무료교육, 강남 이젠아이티(IT)컴퓨터학원) ",
119,,,취업전선에 부는 ’코딩 열풍‘...실상은? / SBS / 후스토리 ,
120,,,"헬스 초보자에게 5x5 루틴이 왜 좋은가 ?? - [ 근비대, 근력향상 다 잡는  5x5 스트렝스 루틴 설명 ] ",
121,,,초보 vs 고수 ASMRist / The Beginner Vs Master ASMRist ,
122,,,팅글주의! 내가 엄선한 트리거 사운드 ASMR / This Is My Favorite Triggers ASMR For YOU! ,
123,,,정신없는사람 VS 차분한사람...  / Friends ASMR ,
124,,,100% 수면보장 빠져드는 입소리 / You Will Fall Asleep To this MOUTH SOUNDS ASMR ,
125,,,Washing You💧 ASMR ,
126,,,The Departed deleted scene - Delahunt a cop or not? ,
127,,,if Apple made Window Blinds ,
128,,,브리타 정수 능력 검증 실험 ,
129,,,외국놈들이 밥버거랑 처음 만났을 때 벌어진 일?! 외국놈들의 그랜드한 한국 일주 시리즈 2편!! ,
130,,,"코딩 1도 모르던 문과생이 개발자 된 썰 | 취업 전후로 알았으면 좋았을 것들 |해외취업|  좋아하는 일 vs 잘하는 일 | 부트캠프 vs 국비지원 | 개발 적성, 취준생, 직장인 ",
131,,,"3년 간 매출 0원, 지금은 매년 떡상중 📈 ",
132,,,"Work & Study Lofi Jazz - Relaxing Smooth Background Jazz Music for Work, Study, Focus, Coding ",
133,,,고수의 ASMR 화상교육 롤플레이/ PRO ASMRTIST teaches ASMR to Beginner RP (video chat ver.) ,
134,,,ASMR 무슨소리일까? / Let's Guess the ASMR Triggers ,
135,,,"귀 마사지 No talking ASMR | 맨손, 로션 귀, 라텍스장갑 | Ear Massage  | Lotion ear massage | Latex gloves massage ",
136,,,공부할 때 듣는 가사 없는 애니 OST 🎹 【𝐦𝐨𝐭𝐞𝐦𝐨𝐭𝐞｜𝐩𝐥𝐚𝐲𝐥𝐢𝐬𝐭｜모트모트｜플레이리스트】 ,
137,,,공부할때 듣는 조용한 빗소리와 재즈 피아노 BGM soft rain jazz piano play ⎮ relax study to ,
138,,,온라인으로 주문한 딸기가 3시간 만에 우리 집까지 올 수 있는 이유 ,
139,,,"Work & Study Lofi Jazz - Relaxing Smooth Background Jazz Music for Work, Study, Focus, Coding ",
140,,,월급노예 탈출 시켜준 1권의 책 ,
141,,,"누적투자 2000억, 세계 1위 채팅 솔루션 기업 센드버드 창업기 | 센드버드 대표 김동신 [리얼밸리 시즌2 EP 17] ",
142,,,스타트업 서바이벌 오디션 🦄유니콘하우스 참가자 모집 ,
143,,,영국 고등학생들에게 불닭볶음면을 줘봤더니…?ㅎ🔥🥵 얘들아 미안…;;🚽 ,
144,,,인도여행 포기합니다.. 새벽에 비행기표 사고 긴급 귀국합니다.. l 인도#4 ,
145,,,말도 안되는 인도의 문화.. 문화 충격을 느껴서 속이 울렁거린다.. 진짜 집에 가야겠다 l 인도#3 ,
146,,,세계여행자들이 절대 오지 않는 방글라데시.. 나는 왔다. 정말 죽을거같다.. l 방글라데시#1 ,
147,,,"클론코딩 ""제대로"" 하는 방법 #Shorts ",
148,,,고양이들 미용하고 목욕하기 ,
149,,,스킨케어 풀코스 압출 피부관리 롤플레이 asmr | skin care shop full course roleplay asmr | pimple popping | korean asmr ,
150,,,दुश्मन कॉलर पकड़े तो 😱#missionsavenirbhaya #selfdefencetechniqe  #commandofitnessclub ,
151,,,최고의 카우보이 목격 ,
152,,,Big Whale surfing with the Surfers rare moment ever seen | Animal Video | Whale ,
153,,,세상에서 가장 위협적인 동물 레서판다3🦝 ,
154,,,자기야 눈감고 뭔지 마춰봐요 ,
155,,,통쾌킹_그아들에 그아빠 #shorts ,
156,,,확실한 강아지 배변교육 #shorts ,
157,,,Dogs not being carful ,
158,,,갈고리 돌리기 초급편 ,
159,,,배그 고인물은 C4를 이렇게 사용합니다 ㅋㅋㅋㅋㅋ ,
160,,,whale rescued in Alaska great work ,
161,,,"다이어트 자극, 20kg 감량 과정 #shorts ",
162,,,WINTER BUSHCRAFT BUILD NATURAL PRIMITIVE BARK ROOF SHELTER Campfire Cooking in Snow #Shorts ,
163,,,This Sportsmanship Is So Special ❤️ ,
164,,,jackie chan WhatsApp status ,
165,,,Crazy Behind The Scenes Stunts! #shorts ,
166,,,interesting hairstyles || amazing hairstyles #shorts ,
167,,,운동화매듭 ,
168,,,물에 빠트린 핸드폰 찾아주는 돌고래 ,
169,,,배그 프로 베릴 정점의 1대4 미친  올킬 세이브!!   [배틀그라운드] #Shorts #Youtube Shorts ,
170,,,Cruisin up to the giant. ,
171,,,Street bike climbs enduro hill climb ,
172,,,올라간다 ~~ (할아버지가 포인트) ,
173,,,경찰서 간 마동석 ,
174,,,Ballerina balancing on a champagne bottle! ,
175,,,lucky day of this 😱 ,
176,,,The NEWEST WAVE of Technology @beyondant_llc ‼️ ,
177,,,파리에서 까리하게 문워크추는 흑형 ,
178,,,woodworking tips  #shorts ,
179,,,Beluga Whale Retrieves Girl's Phone | CONTENTbible #Shorts ,
180,,,Angry Dog Attitudes ,
181,,,나태주3단차기 ,
182,,,역시 삼성이야 ~ ,
183,,,The world need more people like this | Good People |#Shorts ,
184,,,看什么看 ,
185,,,Just foil boarding around 😅 ,
186,,,스쿼드에 나타난 석궁빌런 [배틀그라운드] ,
187,,,Shamu is hunting ,
188,,,"Killer Whale, amazing! ",
189,,,태권도 발차기 ,
190,,,마법 쓰는 아이유 IU ,
191,,,Cute Moments in Tennis #3 ,
192,,,한국 미국 화장법 차이? ,
193,,,2021년 8월 22일 ,
194,,,공포의 고래 ,
195,,,VR 여전사 ,
196,,,20170318-イルカショー後のイルカとスタッフのやりとり笑 ,
197,,,[김루이] 지인들에게 김루이🐦 얘기하면 흔히보이는 반응들😅 #회색앵무새 #shorts ,
198,,,몽산포 맛조개 ,
199,,,패션쇼 난입한 고양이의 뻔뻔한 '캣워크' ,
200,,,OMG SCARY MOVING STATUE 119 M Views London #Shorts ,
201,,,Table Tennis Trickshots In Slowmotion#2 ,
202,,,@m@zing jumping in sky 💅 #$hort video status ,
203,,,장도연 | 바카디 마시는 법 ,
204,,,[1분상식] 코뿔소에게 방사능 물질을 주사하면 벌어지는 일.. #shorts ,
205,,,[김루이]유정이시리즈(2)-실수를 깨달은 앵무새🐦그러나 이미 늦었… #shorts ,
206,,,Brachistochrone curve. Fastest route for a ball. ,
207,,,신당동과일천국 수박썰기 ,
208,,,How Animation Movie Sound Effects are Made ,
209,,,흥미로운 영상! 우리와는 다른 영국군의 군화 물광내는 방법(ft.근위병) ,
210,,,이시영 마술 ,
211,,,바퀴벌레 살충제로 떡칠하기.. ,
212,,,비행기에 갖고 타면 큰일나는 금속 #Shorts ,
213,,,따라하면 인싸되는 해커가 되는 3가지 방법 #Shorts ,
214,,,배그 프라이팬 사용법 [배틀그라운드] ,
215,,,밥안먹을때 경쟁자를 심어주자 ,
216,,,#shuffle #shuffledance​ ,
217,,,콩이 자라나는 과정 ,
218,,,'무중력'에 대해 99%가 오해하는 사실!  #Shorts ,
219,,,Laser Engraved Police Badge ,
220,,,"Big Rohu Fishing🎣 | Fishing fish,🐳🎣🦈 fish catching,Amazing fish | Top D Fishing All ",
221,,,뭐? 돌고래 점프하지만 범고래는 모든 것을 망쳐 ,
222,,,Cara mudah menangkap ular cobra ,
223,,,"elephant is elephant, ",
224,,,리트리버가 모르고 지나가자 놀라버린 주인 반응 #shorts ,
225,,,고양이 vs 쥐 ,
226,,,아직 살아있는 예비역 ,
227,,,포장에 미쳐버린 신상 애플 아이맥 M1 퍼플 언빡싱 (1분 요약) ,
228,,,사람을 가지고 노는 마법사 ,
229,,,Fish ,
230,,,새끼 강아지가 처음으로 짖자 놀란 진돗개 반응 ,
231,,,Must try this spring potato  🥔❤️ Bessi Beach | #shorts #streetfood #chennaifood ,
232,,,범고래가 물개를 사냥하는 방법..소름... ,
233,,,Двухсторонняя заточка кухонных ножей Global ,
234,,,Bowfishing sniper head shot from a dam ,
235,,,Boxing Coach Shows Off Speed Bag Skills 👊👊 ,
236,,,how blooming onions are made 😳 ,
237,,,Oil well drilling ,
238,,,@jordi.koalitic - best Photographer in the world 🌎 😍 #Shorts ,
239,,,대명동 은행나무 털기 ,
240,,,NAYAK NAHI KHALNAYAK HU MAI ,
241,,,실제로보면 엄청 놀라는마술 ,
242,,,Satisfying Skills #shorts ,
243,,,阿海師真功夫表演1 ,
244,,,큐브계의 전설 펠릭스 젬덱스 세계기록 영상 ,
245,,,صنع الزجاج ,
246,,,這才是真正的優質偶像#LeBron James#basketball#shorts ,
247,,,#AmazingTricks2.0 #short #shorts #AmazingTrick #Youtubeshorts #idea #crazy ,
248,,,"소방관마술사 탁구공,돈,공중부양마술 ",
249,,,그냥 넣기만 해도 물을 퍼올리는 마법의 빨대?_데일리쿠키 EP15 #Shorts ,
250,,,"5년전 알파고 vs 이세돌의 신의 한 수, 당황한 알파고 개발진들의 반응 ",
251,,,OSKAR?!?!😱 ,
252,,,تسريحه مرتبه 😍❤️ | لاتطووفكم ,
253,,,VR 댄스 ,
254,,,Pipe Relining ,
255,,,Forcible Entry ,
256,,,댕댕이 알약먹이기 ,
257,,,스피커 만들기 ,
258,,,這街頭Battle～連外國人都讚嘆！！！ ,
