,업데이트영상,시간,시청기록,검색기록
259,,,"단언컨대, 카트라이더 대회 명경기 단 하나만 뽑으라면.. 0.005초의 영역 ",
260,,,케익장인 ,
261,,,https://www.youtube.com/watch?v=Mnoh9UwDkf4 ,
262,,,연예인 실물 / 청하 ,
263,,,굿바이 좋좋소【feat.메이킹】 ,
264,,,💀 아프가니스탄 쳐들어갔다가 역으로 당한 나라들 / 💀 아프간이 제국의 무덤이라 불리는 이유 ,
265,,,30초로 보는 남자장발 1년4개월 기르는 과정 ,
266,,,[스파이더맨: 노 웨이 홈] 티저 예고편 ,
267,,,KOREAN ASMR | 감기 병원 검진 asmr |flu check up asmr | hospital rp | 체온계 청진기 | thermometer | stethoscope ,
268,,,양자역학에서 이론적으로만 존재할 수 있던 물체 ,
269,,,[후토크] 아스날 팬 옆에서 웃다 걸리면 사망 ,
270,,,너무 빡친 동업자 옆에서 웃음 챌린지 해봤습니다. ,
271,,,의상이 좀..곤란한데요...😳 ,
272,,,정소림신음 ,
273,,,통계학과 학생이 알려주는 데이터 분석법 ,
274,,,부산 수영장에서 잠깐의 휴식을~ ,
275,,,[🚨영상볼때 꼭 뒤를 확인하세요🚨] 제가 좀 많이 아파요... ,
276,,,ASMR 잠이 솔솔 거인 치아 치료 상황극 🦷  Feat. 숲속치과 🌲/ Giant Teeth Treatment 🦷 Forest Dentistry 🌲/ Eng sub / 日本語字幕 ,
277,,,EU ESPERO QUE VOCÊ EXPERIMENTE ISSO AQUI NA COREIA | 그냥 된장찌개만 퍼먹는 외국인 아내 (Feat. 나트륨 주의) ,
278,,,NOSSA ROTINA DA NOITE (Quando filho dorme) | 한브 가족의 저녁 일상 Night Routine ,
279,,,Meu pai comendo comida coreana pela primeira vez! ,
280,,,알아두면 깜놀! 넷플릭스 백엔드의 진실!? ,
281,,,한국 어플리케이션 수준에 감탄한 이란인들(feat. 부산여행) ,
282,,,이란인들이 말하는 이란에 가져가면 진짜 대박날 것 같은 한국 물건들 ,
283,,,강남 테헤란로를 본 실제 테헤란 사람들 반응 ,
284,,,한국 KTX 열차속도에 진심으로 감동한 이란인들 ,
285,,,Minha família experimentando GUKBAP! ,
286,,,미국 간호사가 돈가스 처음 먹어본 인상은?! 외국놈들의 그랜드한 한국 일주 시리즈 1편!! ,
287,,,정소림신음 ,
288,,,정소림 신음사건 ,
289,,,BounceBackMeek ft. Javn2900 - Lay Down (Exclusive Music Video) || Dir. Shoot Something ,
290,,,MAC OSX에서 파이썬 한국어 자연어 처리 도구인 KoNLPy 설치하기 ,
291,,,"[과제를 위한 파이썬] #2 - 형태소 분석하기 (konlpy 설치, 사용법) ",
292,,,'김현우' 얇은 머리 드라이 스타일링 하는 법! See-through Parted Hair Tutorial | 죠셉Joseph ,
293,,,(슬릭백)뜨는 직모도 어려움없이 시원하게 넘겨드립니다./슬릭백스타일링 ,
294,,,[용진] GRWM+VLOG 올빽 슬릭백 하는 법&강남 핫플에서 경품 타기🎁 ,
295,,,한국 남자가 [슬릭백 언더컷]을 하면 왜 서양애들 같은 느낌이 안 사는걸까? (남자머리 고민 해결!)_요상한TV ,
296,,,[남자 올백머리 스타일] 긴머리남자분들 이렇게 한번 해보세요! 핵 이쁨! ,
297,,,3개월만에 4등급을 1등급으로 만든 '서울대 소자쌤'의 수학공부법 | 수능 공부법 ,
298,,,"""우릴 다 쫒아내려해"" 가난한 미국 동네에 산다는 '진짜' 의미 EP6 l 미국#8 ",
299,,,고수의 ASMR 화상교육 롤플레이/ PRO ASMRTIST teaches ASMR to Beginner RP (video chat ver.) ,
300,,,[공부방법 1탄] 연세대 의대교수출신 박사가 애용한 공부방법 ,
301,,,"샌프란시스코의 무법지대 ""텐더로인""에 가면 생기는일 l 미국#2 ",
302,,,"미국의 공공임대주택 단지, 극빈곤층 흑인마을에서의 하루 l 미국#10 ",
303,,,"""우리도 이렇게 싸워"" 한국의 깡패 영화를 처음 본 캄보디안 갱스터들의, 영화 '신세계' 반응 EP7 l 미국#9 ",
304,,,"""애네 진짜 일진이야?"" 캄보디안 갱스터들이 리뷰하는 '한국일진, 국밥육수충' EP5 l 미국#7 ",
305,,,"""너 진짜 죽고 싶니?"" 캄보디안 갱스터들이 나를 처음보고 했던 말과 행동들 EP4 l 미국#6 ",
306,,,"블랙헤드, 모공 말끔히 세안하는 클렌징오일 세안법ㅣ완전 상세 ",
307,,,"""너희한테 소중한건 뭐야?"" 미국 최악의 도시에서 캄보디안 깽들이 지키고자하는것 EP3 l 미국#5 ",
308,,,손가락질을 받으면서도 미국에서 깽으로 사는 이유 EP2 l 미국#4 ,
309,,,미국 최악의 범죄도시 스탁튼을 장악한 캄보디안 갱들과의 하룻밤 EP1 l 미국#3 ,
310,,,51구역을 둘러보다 【아메리카4】 ,
311,,,51구역을 둘러보다 【아메리카4】 ,
312,,,4만원 이하! 직접 써보고 추천드리는 가성비 생활용품&전자제품 5종 ,
313,,,Web Scraping Popular YouTube Videos | Python One Day Builds ,
314,,,Web Scraping with Python - Beautiful Soup Crash Course ,
315,,,[Python Project] Create a YouTube Channel Videos Scraper with Python | Part 1 ,
316,,,스포츠 역사상 가장 말도 안되는 30가지 순간 ,
317,,,스포츠에서 설레발은 모다? '김칫국 세리머니'하다 낭패당한 선수들 / 스포츠머그 ,
318,,,"ASMR 터치 팅글 & 입소리(콕콕,슈르륵..) /Mouth Sounds/Hand movement ",
319,,,99% 잠오는 단어반복 ASMR / 99% of You will Fall asleep with this Word Repeating ASMR ,
320,,,통계학과 학생이 알려주는 데이터 분석법 ,
321,,,ASMR 잠이 솔솔 거인 치아 치료 상황극 🦷  Feat. 숲속치과 🌲/ Giant Teeth Treatment 🦷 Forest Dentistry 🌲/ Eng sub / 日本語字幕 ,
322,,,유튜브제목과 댓글을 #크롤링! [ #R쓸신잡 R Selenium 제 2 편 ] ,
323,,,잠이 안오시나요? 10가지 소리로 재워드립니다 / Can't you sleep? I'm Gonna Help You w/ 10 Triggers ,
324,,,24년차 의사가 알려주는 의학용어풀이 ((전)의대교수님과 study with me) ,
325,,,당신이 들어본적 없는 입소리 / Unpredictable Fast ASMR ,
326,,,"Peaceful Piano With Water Sounds for Stress Relief - Relaxing Sleep Music, Meditation Music ",
327,,,SKYFALL | Bond meets Q ,
328,,,알리익스프레스 당신의 삶의 질을 높여줄 놀라운 생활용품 아이디어 제품 BEST8 #2 ,
329,,,'매일' 아침마다 습관처럼 리스테린 쓰라는 광고!  과연 '매일' 써도 안전 할까? | 구강청결제 올바른 사용법 ,
330,,,영상 못올린 기념 뜬금 크온구 LIVE ASMR!! ,
331,,,"[찐의사] 치실과 치간칫솔 제대로 알고 사용하자! | 건강함의 시작, 몸의 대화 body talk EP.4 ",
332,,,올바른 칫솔 고르는 방법! | 이것 딱 한가지만 기억하시면 됩니다~! | 치과의사가 알려주는 좋은 칫솔 고르는 법 ,
333,,,치과의사 망하는 칫솔 종류는?  (손칫솔VS 전동칫솔VS  구강세정기) ,
334,,,LA의 코리아타운 차이나타운 재팬타운 【아메리카1】 ,
335,,,2021년의 미국 여행 【아메리카0】 ,
336,,,헐리우드 파파라치 돼보기 【아메리카2】 ,
337,,,그랜드한 한국 일주 시리즈!! (예고편) ,
338,,,양치질 습관! 제대로 하려면 지금 당/장/ 바꾸셔야 합니다. 치과의사 피셜 올바른 양치정보 ,
339,,,치과위생사의 치실사용방법/치실사용법총정리/치실꼭쓰세요~ ,
340,,,getitbeauty2019 톡.톡.톡. 빛채경 알려주는 아이크림 제대로 바르는 방법! 190920 EP.27 ,
341,,,그동안 몰랐던 아이크림의 진실 (feat. 피부과 전문의 이하은 원장님) ,
342,,,"(*Eng) 아이크림, 나이대별 바르는 법은?!! 눈가주름, 다크서클에 대한 궁금증까지. by 디렉터파이 ",
343,,,Comemos Samgyupsal e tomamos Soju! ,
344,,,클렌징 오일 완벽하게! 세수하기!!! 유화과정이 뭘까용?? 클렌징 100프로 깨끗하게 튜토리얼! 클렌징오일의 진실!!! ,
345,,,통계학과 학생이 알려주는 데이터 분석법 ,
346,,,Moon River wider than a mile ,
347,,,라스 베가스 싸게 여행 【아메리카3】 ,
348,,,인류의 미래를 바꿀...역사책에 기록될 사건이 될 수도 ,
349,,,[이터널스] 메인 예고편 ,
350,,,잘생쁨ㅎㅎ ,
351,,,100억년 후 태양은... 이렇게나 작아진다고? 백색왜성으로 진화하는 태양! ,
352,,,"그냥 누워계십쇼 30분안에 잠이 올겁니다 / Just Lie Down, You'll Fall Asleep Within 30 minutes! ",
353,,,[모범택시] 4회 요약 '나이 어리다고 안 봐준다. 학폭 가해자들 혼쭐내러 갑니다' / 'Taxi Driver'｜SBSNOW ,
354,,,YouTube Data API Tutorial with Python - Analyze Channel Statistics - Part 1 ,
355,,,"그냥 누워계십쇼 30분안에 잠이 올겁니다 / Just Lie Down, You'll Fall Asleep Within 30 minutes! ",
356,,,Soy와 패스트 트리거 ASMR / ASMR Fast Triggers with Soy ,
357,,,태연 당근마켓 사건 ,
358,,,"나, 희철, 제나의 투 머치 토크, 장보기 ",
359,,,헐리우드 파파라치 돼보기 【아메리카2】 ,
360,,,정신없는 미용실 ASMR RP / Haircut Roleplay ,
361,,,Soy와 패스트 트리거 ASMR / ASMR Fast Triggers with Soy ,
362,,,한 달 5만원으로 시작하는 남자 피부 관리 3가지! 이  3가지만 해도 관리하는 남자가 될 수 있어요! ,
363,,,피부과 관리를 시작하고 싶은 남자분들을 위한 추천 피부과시술 3가지! ,
364,,,남자피부관리👦🏻 잘생긴 남자들이 받는 피부과 시술은? ,
365,,,(*Eng) 남자가 많이하는 피부과 시술 feat. 남자 피부관리 꿀팁 - Men's skincare 피부과전문의 [닥터필러] ,
366,,,"🌠 약에 취해 쓴 가사, 𝐘𝐞𝐫𝐢𝐧 𝐁𝐚𝐞𝐤 - 𝐂𝐡𝐚𝐦𝐩𝐚𝐠𝐧𝐞 𝐒𝐮𝐩𝐞𝐫𝐧𝐨𝐯𝐚 𝐂𝐨𝐯𝐞𝐫 [가사/해석] ",
367,,,에어팟으로 스피커 만드는법?!?🔊🎵🎶 ,
368,,,ASMR 🦷Dentist Does Your Teeth Cleaning!! / 충치치료 ASMR ,
369,,,"두가지 마이크로 재워드립니다/ 10가지 소리 / ASMR for people who want to go to sleep NOW!! (w/ 2 MIC, 10 Triggers) ",
370,,,Bust Your Knee Caps (Johnny Don't Leave Me) - Pomplamoose ,
371,,,100% 수면보장 최애 트리거 ASMR/ ASMR with MY Favorite Triggers For YOU ,
372,,,ASMR✂️머리감겨주는 미용실 RP/ a Tingly Hairdresser RP & Haircut ASMR ,
373,,,💅 비둘기 ASMR / Tingly Witch Finger Sounds ASMR w/ 10+Triggers ,
374,,,글이 빨리 읽어지지 않거나 읽어도 기억에 남지 않는 분들은 '이렇게' 읽으셔야 합니다. | 문해력 시리즈 1편 ,
375,,,💅 비둘기 ASMR / Tingly Witch Finger Sounds ASMR w/ 10+Triggers ,
376,,,릴레이 ASMR w/ 친구들!! / Relaxation Relay ASMR with my FRIENDS ,
377,,,초보 vs 고수 ASMRist / The Beginner Vs Master ASMRist ,
378,,,LA의 코리아타운 차이나타운 재팬타운 【아메리카1】 ,
379,,,2021년의 미국 여행 【아메리카0】 ,
380,,,치맥을 처음 먹어본 영국 축구선수들의 반응?! ,
381,,,2021년의 미국 여행 【아메리카0】 ,
382,,,ASMR 잠이솔솔 메이크업 퍼프상점 롤플레이 /ASMR Sleepy Makeup Sponges Shop RP/ makeup sounds ,
383,,,SandWoah Fall & Crush Compilation 3 ,
384,,,Very Satisfying and Relaxing Compilation 148 Kinetic Sand ASMR ,
385,,,ASMR 100+가지 소리로 잠에 들어봅시다 / ASMR 100+ SOUNDS in 20 minutes for Tingles ,
386,,,"먼 얘기같던 VR, 그런데 지금 너도 나도 산다는 오큘러스 퀘스트 2 ( + 꼭 봤으면 하는 팁들) ",
387,,,애플빠도 95% 모르는 애플의 미친 연동성 ,
388,,,요즘 가장 핫한 향수 브랜드 '조러브스' Best 5 남자 향수 추천 [클래씨] ,
389,,,Hippo kills antilope in front of a pack of african dogs #shorts ,
390,,,"Eel,Animals,Fish,Wildlife,Fishing,Catfish,Nature,National Geographic,Shark,Lion ",
391,,,One inch punch Former chinese special forces instructor Ep1 #猎人1号001 ,
392,,,Funny Bar Chair Prank Tiktok: justinflom ,
393,,,Best Fishing Video 🐟 Amazing Fishing 🔴 KAO FISHING 🔴 Tik Tok China #shorts ,
394,,,街頭快打之 遊覽車司機的逆襲 ,
395,,,Best hair cut #shorts ,
396,,,محترف فك شفرات المفاتيح في ثواني 😱😮 ,
397,,,Sabrer le champagne avec une flute ,
398,,,줄 없는 번지 사장님 낚시 신공 ,
399,,,Crazy mean cat gets brave! ,
400,,,Mansour Bahrami In Game Commentary ,
401,,,Hydrographics deer skull snake skin ,
402,,,Smart dogs / Good Deeds #shorts #25 ,
403,,,핑퐁 게임 (마지막 쾌감 주의⚠️) ,
404,,,makeup 😍😭💕😂💄 ,
405,,,Magic in Pattaya Walking Street ,
406,,,bắn pháo cối  bị xịt tý thì đi ,
407,,,How to Prepare Tiles Wall and Floor or Room # 229 ,
408,,,"Easy Gadget, Smart Appliances, Kitchen Utensils Gadgets For Every Home, Beauty Makeup #shorts ",
409,,,Cool Musical Sound Effects on Different Instruments #shorts ,
410,,,Проверка оружия командиром ,
411,,,Amazing Bartender Skill | Cocktails Mixing Techniques At Another Level #067 - TikTok ,
412,,,Trick #Shorts | Magic tricks anyone can do! ,
413,,,It Turns Out This Runway Is Used Like ł Short Video Game ł BIG TECH SPOTLIGHT ł BTS Future Badshah ,
414,,,Ai Làm Được Dơ Tay Nào 😊 | Bố KTLN ✅ ,
415,,,Star Wars Themed Resin Sphere ,
416,,,Gave my Customer some Ski Goggles 😂 #shorts #iphonerepair #backglass #safety #teletouch ,
417,,,TikTok Funny Video try not to laugh US  (skywaymisfits) ,
418,,,Snake Attack Comodo Dragon Family !! Wild Animal Attack !! Snake Video !! #Shorts By Raghuwanshi || ,
419,,,عملت مقلب كسر زجاج سيارة زوجتي  شاهد ردة فعلها لن تصدق ..!! ,
420,,,Kali ini Bmw bor yang dirusak😂#videopendekbermanfaat #hiburan #otomotif #1 ,
421,,,Horse Toenail Care ,
422,,,أجمل تسريحه شعر بلبيت شوفي مقطع 🥺🙈 ,
423,,,유리장인 ,
424,,,"""Tag You're It"" ",
425,,,how to make costume robot Zaku suit up ,
426,,,شاهد كيف يتم تزوير الدولار في 3 دقائق البنت دي هتعلمك 😂 .. مقلب حير الجميع HD ..!! ,
427,,,https://www.youtube.com/watch?v=Z-77zMKCtrY ,
428,,,"Grafting Results, How to Grafting Fruit Tree Easy and Grow Part 34 ",
429,,,MILITARY TV |🇺🇸 Don't fall asleep in the military ,
430,,,Using An Airsoft Grenade Launcher In Some Gameplay #shorts ,
431,,,Bell ,
432,,,Good People - Kind People Take Care of Those Around Them - Act Of Kindness #Shorts ,
433,,,Apni Deshi MATKA KULFII || desi ice cream | Indian Street Food #shorts ,
434,,,مادة تجعل الزجاج مقاوم للماء ,
435,,,We got him so good 🤣😱🔥 ,
436,,,https://www.youtube.com/watch?v=lKlsIT4qK40 ,
437,,,도구의 활용 ,
438,,,오재미  던지기 ,
439,,,She missed it 🧐---😳 #shorts ,
440,,,"Cute makeup, girl life style, Style of make up dinner make up, | Globle MakeUp | #SHORTS | EP ",
441,,,自主研发 ,
442,,,Pulling A Glass Cane | Amazing Work ,
443,,,HAND IN BUCKET PRANK!! 🤣- #Shorts ,
444,,,Fixing A Flat Tire With Patch Plug #Shorts ,
445,,,Trick #Shorts - The Ultimate Trick Shot (Fail?) ,
446,,,1분안에 가스통으로 바베큐 기계 만들기 #shorts ,
447,,,Surprise Proposal Prank on Boyfriend ,
448,,,뻘짓 ,
449,,,Cook Chinese Comedy Food TikTok Eat - Nấu món ăn Comedy Trung Quốc TikTok Ăn #shorts ,
450,,,https://www.youtube.com/watch?v=ScCB71l6ziA ,
451,,,Whoa...blast off! 😱 ,
452,,,Спасение рыси из капкана ,
453,,,How to remove spited and broken screws - life hacks #shorts ,
454,,,The All Time Record GREATEST Water Bottle Flip.. #Shorts ,
455,,,KING EATING CHILI FOOD CHALLENGE!! Tiktok China Mukbang Spicy Food Delicious ,
456,,,Springboard chop  professional lumberjack Mark-Frank Bouquin ,
457,,,Asian street food 煎饼 ,
458,,,중장비Pipe4 ,
459,,,말도안되는데 끝까지 보면 말됨 ,
460,,,💗Mask beauty & beauty makeup👄💄 (Skincare routine #280)💖 ,
461,,,정신없는 상황 속에서 치킨 캐리 1vs4 ,
462,,,엄마 이것만 보고 잘게요 ,
463,,,Amazing😍😍 factory work #forging #short #youtubeshorts #short ,
464,,,Money Magic Trick On My Sister 😂 ( She Fell For it 😱😂 )l ,
465,,,워터파크 직원 ,
466,,,펌을 하면 앞머리가 휘는 이유는? ,
467,,,[남자 헤어스타일링] 볼륨펌해도 힘이 없고 얇아서 힘이 없는 모발 드라이로 뿌리볼륨살리기 / 안 가라앉는 헤어스타일링(고데기 x) ,
468,,,Tingly 200+ TRIGGER SOUNDS ASMR ,
469,,,시대를 잘못 태어난 학생 ,
470,,,크롤링은 어디까지 불법인가?  판례로 살펴본 크롤링! ,
471,,,Tingly 200+ TRIGGER SOUNDS ASMR ,
472,,,ASMR 잠이오는 100가지 트리거 소리들 / 100 Trigger Sounds ASMR ,
473,,,Dave Brubeck - Bossa Nova U.S.A. ,
474,,,초고속 100 트리거 ASMR / FAST 100 TRIGGER SOUNDS ASMR ,
475,,,이것만 알면 논리력 급상승합니다 ,
476,,,머리는 좋은데 인생 잘 안풀리는 케이스 ,
477,,,여행 다녀온 크온구 LIVE ASMR!! ,
478,,,[올드] 메인 예고편 ,
479,,,초고속 100 트리거 ASMR / FAST 100 TRIGGER SOUNDS ASMR ,
480,,,팅글이 뭔지 모르는 사람을 위한 ASMR / ASMR for People Who Don't Know What Tingles Feel Like (w/ new triggers) ,
481,,,친구들과 팅글 ASMR / TINGLY TRIGGERS WITH FRIENDS (노선경 & Kiwi) ,
482,,,금발 소녀와  ASMR / ASMR with the blonde girl ,
483,,,🦷이 영상을 보고 아픈 치아가 나았어요😲 ASMR Dentist Destryoing Your Teeth!! ,
484,,,ASMR WITH MY FRIENDS !! ,
485,,,ASMR 100+가지 소리로 잠에 들어봅시다 / ASMR 100+ SOUNDS in 20 minutes for Tingles ,
486,,,마블의 테서랙트? 차원이란 도대체 무엇일까? [안될과학 랩미팅 - 차원론 1부] ,
487,,,"[#지니어시스] 서울대, 카이스트, 하버드 이과 출신을 원샷 원킬한 갓동민ㄷㄷ 끝도 없는 숫자들의 연속의 규칙을 알아낸 방법?│#더지니어스 #디글 | CJ ENM 150912 방송 ",
488,,,"260원으로 스마트홈 만들기! 폰만 갖다대면 다 됩니다. 음악틀고, 불켜고, 티비켜고, 알람맞추기 등 ",
489,,,과즙세연 봄 룩북 🌼  (Spring Lookbook) ,
490,,,https://www.youtube.com/watch?v=Ql3o-rjsY9Y ,
491,,,iterm2와 oh-my-zsh로 터미널 이쁘게 꾸미기!(3분컷) ,
492,,,걸어가는 중 거미줄이 걸리는 느낌은 뭘까? ,
493,,,전세계 노트북 사용자 고민을 한번에 해결해준 신박한 노트북 용품들 - 노트북 5500일 써보고 알게된 혜자템들 공개합니다 ,
494,,,Django에서 Jupyter Notebook 사용 튜토리얼! ,
495,,,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 : 그해, 여름 손님 ",
496,,,"[단독] 카톡까지 '매크로 백신예약' 뚫려…질병청 ""처벌 검토"" / JTBC 뉴스룸 ",
497,,,저세상속도 100 트리거 ASMR / 100 Triggers ASMR for you to have a good sleep ,
498,,,ASMR 친구와 눈가리고 소리 맞히기! / ASMR Guess the Triggers with my Friend! ,
499,,,ASMR Triggers with Friend (feat. Reyong) ,
500,,,타고난 느림보와 타고난 암살자의 대결! 나무늘보 VS 퓨마 ,
501,,,"사나운 동물, 벌꿀오소리 ",
502,,,살무사도 죽이는 오소리와 표범의 싸움! ,
503,,,대놓고 말은 안하지만 관리 안하면 완전 깨는 5가지 부위😷 ,
504,,,테크 유튜버인 내가 역대급 찐만족한 책상 아이템은? 깔끔하게 세팅한 2021 상반기 컴퓨터 책상 셋업하기! ,
505,,,💀 지구가 두 배로 더워지고 있는 이유 / 💀 공장식 축산업은 지구에 어떤 영향을 끼칠까? ,
506,,,직접 써보고 추천하는 삶의 질을 높여주는 아이템 5가지 + One More Thing? ,
507,,,4만원 이하! 직접 써보고 추천드리는 가성비 생활용품&전자제품 5종 ,
508,,,CPU는 어떻게 작동할까? ,
509,,,'한우는 그냥 천국의 맛이다' 이렘씨의 한국 고기 이야기 ,
510,,,나는 과연 사업가 체질인가? ,
511,,,편의점 꿀조합을 처음 먹어본 영국 고등학생들의 반응!? (ft.짜파구리 마크정식) ,
512,,,한강 밤도깨비 야시장에서 사랑에 빠진 미친남자!?! ,
513,,,ASMR Triggers with Friend (feat. Reyong) ,
514,,,초보 vs 고수 ASMRist / The Beginner Vs Master ASMRist ,
515,,,ASMR 30분안에 재워드려요! / YOU will Fall Asleep In 30 minutes ,
516,,,ASMR 고수 VS 고수 / ASMR PRO vs PRO ASMRtist ,
517,,,촐싹대는 ASMR / Super Ultra Fast ASMR EVER for Tingles ,
518,,,ASMR 불면증 있는 분들 들어오세요! / ASMR For People Who Have Some Insomnia ,
519,,,ASMR 여러분들의 고민을 뽑아드릴게요 / ASMR Plucking Away Your Negative Thoughts! ,
520,,,Brave Moment Cat Fights A Large Python To Protect Its Kittens ,
521,,,살무사도 죽이는 오소리와 표범의 싸움! ,
522,,,벌꿀오소리 VS 왕도마뱀 ,
523,,,사자 무리의 공격에 반격하는 벌꿀오소리 | Animal Fight Club ,
524,,,벌꿀오소리에게 천적이란 없다! ,
525,,,Bobcat Kills Rattlesnake While Fighting - 1147348 ,
526,,,Cat vs Snake Fight Comparison in Detail || Who Will Win?|| Cat vs Snake Real Fight Video. ,
527,,,딱 20대 초반에만 할 수 있는 연애 [드라마 '알고있지만' 을 보고] ,
528,,,4만원 이하! 직접 써보고 추천드리는 가성비 생활용품&전자제품 5종 ,
529,,,한 번도 보지 못한 자연현상 TOP7 ,
530,,,"S전자 다니는 사람의 집은 어떻게 생겼을까? l 특 : 애플, 다이소 좋아함 l 고양이 나와요 l 수원 영통 아파트 ",
531,,,수건 딱 1개로 살고 있어요 l 한강 근처 300/40 방 2개 짜리 집 l 미니멀리즘을 넘어 무소유로 l 서울 흑석동(중앙대) 월세 ,
532,,,중국땅에 이렇게 써놓으면 그분들이 어떻게 반응할까? ,
533,,,아파트에서 똥을싸면 어디로 흘러들어갈까? ,
534,,,우리집 아파트에 마사지업소가 생겼어요 ,
535,,,일본은 진짜 한국의 방파제 역할을 할까? ,
536,,,ASMR 2.5+ Hour Sleep Therapy Ear to Ear Treatment with Binaural Brushing ,
537,,,귀에서 뽑아내는 팅글 / Tingly MIC Pulling ASMR ,
538,,,팅글을 뽑아내는 마이크 / MIC Pulling ASMR ,
539,,,뭔가 빠져드는 예측불허 입소리 / Super Intense Unpredictable Mouth Sounds ,
540,,,[ASMR] 입소리 4탄! & 마이크 브러쉬 /Mouth sounds/Microphone Brushing ,
541,,,ASMR 핸드무브먼트 & 입소리! #5 /시각적트리거/  Mouth sounds/Hand movement ,
542,,,"그냥 누워계십쇼 30분안에 잠이 올겁니다 / Just Lie Down, You'll Fall Asleep Within 30 minutes! ",
543,,,ASMR👂다양한 도구로 귀청소 해줄게!/ ASMR a FRIEND DOES YOUR Ear cleaning! RP ,
544,,,요즘 잠이 안오나요? 들어오세요 / 엄선된 10가지 사물소리 / 200% Tingles Guaranteed ASMR  Video / Favorite 10 Triggers ,
545,,,요즘들어 잠 못자는 사람들을 위한 ASMR / ASMR For People Who Couldn't Sleep Well Recently ,
